iter	Passed	Remaining
0	3	3530
1	5	2837
2	8	2826
3	11	2863
4	13	2639
5	15	2637
6	18	2609
7	21	2687
8	24	2743
9	28	2773
10	29	2688
11	33	2728
12	36	2779
13	39	2807
14	42	2802
15	45	2813
16	48	2810
17	51	2785
18	54	2813
19	57	2825
20	60	2825
21	63	2838
22	65	2799
23	69	2813
24	71	2779
25	74	2791
26	77	2783
27	79	2767
28	81	2741
29	85	2757
30	88	2767
31	90	2748
32	94	2761
33	96	2736
34	99	2751
35	102	2753
36	104	2730
37	108	2734
38	110	2713
39	113	2733
40	116	2718
41	119	2731
42	122	2715
43	125	2716
44	128	2720
45	131	2735
46	135	2738
47	138	2740
48	140	2736
49	144	2742
50	148	2763
51	150	2743
52	153	2742
53	155	2731
54	159	2741
55	162	2732
56	164	2716
57	167	2717
58	169	2708
59	173	2719
60	177	2728
61	180	2726
62	183	2731
63	186	2732
64	191	2750
65	194	2749
66	197	2750
67	199	2735
68	202	2730
69	205	2731
70	208	2731
71	211	2729
72	214	2725
73	216	2712
74	220	2719
75	223	2714
76	225	2705
77	228	2706
78	232	2705
79	236	2714
80	239	2718
81	241	2706
82	244	2703
83	248	2707
84	251	2709
85	255	2711
86	257	2706
87	261	2707
88	264	2709
89	267	2704
90	270	2704
91	273	2703
92	276	2696
93	279	2692
94	281	2680
95	283	2670
96	286	2671
97	290	2671
98	292	2665
99	295	2657
100	299	2662
101	302	2663
102	304	2653
103	306	2644
104	309	2642
105	313	2646
106	316	2644
107	320	2643
108	323	2642
109	326	2638
110	328	2633
111	332	2633
112	334	2629
113	338	2632
114	342	2632
115	344	2628
116	346	2617
117	349	2613
118	351	2605
119	354	2598
120	357	2597
121	359	2589
122	362	2586
123	366	2589
124	369	2587
125	373	2589
126	376	2589
127	381	2601
128	384	2596
129	387	2595
130	390	2593
131	393	2588
132	396	2582
133	399	2581
134	403	2583
135	405	2575
136	408	2573
137	411	2569
138	414	2566
139	417	2563
140	420	2562
141	423	2559
142	425	2551
143	427	2541
144	430	2538
145	433	2533
146	436	2530
147	438	2524
148	441	2520
149	444	2517
150	446	2510
151	449	2508
152	452	2504
153	454	2495
154	457	2492
155	459	2488
156	462	2484
157	465	2482
158	469	2481
159	472	2478
160	475	2477
161	478	2473
162	480	2465
163	483	2465
164	486	2460
165	487	2451
166	491	2449
167	493	2443
168	496	2442
169	499	2440
170	502	2436
171	504	2428
172	507	2425
173	510	2423
174	513	2420
175	516	2418
176	518	2411
177	521	2406
178	523	2399
179	525	2394
180	527	2387
181	529	2381
182	531	2374
183	534	2370
184	536	2362
185	539	2358
186	542	2359
187	545	2357
188	549	2356
189	551	2352
190	553	2346
191	557	2346
192	561	2345
193	564	2343
194	566	2336
195	569	2335
196	573	2336
197	575	2329
198	578	2326
199	579	2319
200	582	2314
201	585	2312
202	588	2311
203	591	2307
204	594	2305
205	597	2302
206	600	2300
207	603	2296
208	605	2291
209	607	2285
210	610	2282
211	613	2279
212	616	2276
213	618	2271
214	620	2267
215	623	2264
216	626	2260
217	629	2258
218	632	2255
219	634	2249
220	637	2246
221	640	2243
222	642	2238
223	644	2232
224	647	2229
225	650	2227
226	652	2222
227	655	2219
228	658	2216
229	661	2213
230	663	2210
231	667	2208
232	669	2205
233	672	2202
234	675	2199
235	678	2195
236	681	2192
237	682	2186
238	685	2183
239	688	2180
240	691	2177
241	694	2174
242	697	2172
243	700	2169
244	703	2167
245	706	2164
246	708	2158
247	711	2156
248	712	2150
249	715	2147
250	717	2142
251	721	2141
252	723	2136
253	726	2134
254	729	2131
255	731	2127
256	733	2121
257	736	2119
258	738	2113
259	741	2110
260	744	2107
261	747	2105
262	749	2100
263	751	2095
264	753	2089
265	756	2087
266	759	2084
267	761	2080
268	763	2075
269	766	2072
270	768	2068
271	771	2064
272	774	2062
273	776	2056
274	779	2055
275	781	2050
276	784	2048
277	786	2042
278	789	2041
279	792	2038
280	795	2035
281	797	2029
282	799	2025
283	801	2021
284	803	2015
285	806	2013
286	808	2007
287	811	2005
288	813	2002
289	816	1999
290	819	1996
291	821	1990
292	823	1988
293	825	1982
294	827	1977
295	830	1974
296	831	1969
297	833	1964
298	837	1962
299	839	1959
300	842	1956
301	845	1953
302	847	1948
303	850	1946
304	853	1943
305	854	1938
306	857	1935
307	860	1932
308	861	1927
309	864	1923
310	866	1920
311	869	1916
312	872	1914
313	875	1912
314	878	1909
315	880	1904
316	882	1900
317	885	1898
318	887	1895
319	890	1892
320	893	1890
321	896	1887
322	899	1884
323	902	1882
324	904	1878
325	906	1874
326	909	1871
327	912	1869
328	915	1866
329	918	1863
330	920	1860
331	922	1855
332	924	1851
333	927	1849
334	929	1845
335	932	1842
336	935	1839
337	938	1837
338	941	1834
339	944	1832
340	947	1830
341	948	1825
342	951	1823
343	953	1818
344	956	1815
345	958	1811
346	961	1808
347	964	1806
348	966	1802
349	969	1799
350	972	1797
351	974	1793
352	977	1792
353	979	1787
354	982	1785
355	985	1783
356	988	1779
357	989	1775
358	993	1773
359	995	1769
360	998	1767
361	1000	1763
362	1003	1761
363	1005	1757
364	1009	1755
365	1011	1751
366	1013	1747
367	1016	1745
368	1019	1743
369	1022	1740
370	1025	1738
371	1027	1734
372	1030	1731
