iter	Passed	Remaining
0	53	53133
1	96	48172
2	142	47250
3	186	46417
4	233	46451
5	281	46522
6	326	46221
7	371	46026
8	415	45677
9	464	45894
10	508	45685
11	553	45518
12	599	45467
13	643	45279
14	690	45300
15	745	45797
16	800	46233
17	853	46533
18	906	46734
19	956	46810
20	1007	46927
21	1057	46944
22	1108	47048
23	1153	46872
24	1201	46822
25	1250	46795
26	1296	46689
27	1343	46607
28	1387	46413
29	1433	46311
30	1484	46351
31	1527	46163
32	1571	45997
33	1614	45815
34	1659	45693
35	1702	45539
36	1746	45411
37	1789	45263
38	1833	45133
39	1877	45004
40	1919	44854
41	1963	44742
42	2008	44645
43	2050	44511
44	2098	44489
45	2143	44406
46	2187	44315
47	2231	44215
48	2275	44116
49	2319	44018
50	2364	43954
51	2408	43870
52	2459	43904
53	2501	43784
54	2546	43704
55	2596	43723
56	2645	43715
57	2689	43641
58	2733	43548
59	2779	43492
60	2822	43401
61	2866	43320
62	2909	43232
63	2954	43163
64	2996	43061
65	3040	42977
66	3083	42897
67	3126	42810
68	3171	42748
69	3214	42662
70	3259	42607
71	3303	42536
72	3346	42453
73	3391	42398
74	3440	42385
75	3484	42313
76	3527	42236
77	3570	42164
78	3615	42106
79	3660	42055
80	3708	42026
81	3754	41982
82	3801	41953
83	3849	41928
84	3894	41872
85	3938	41814
86	3983	41762
87	4026	41688
88	4075	41671
89	4123	41648
90	4176	41668
91	4220	41610
92	4265	41556
93	4309	41488
94	4353	41428
95	4398	41369
96	4449	41373
97	4493	41309
98	4534	41224
99	4578	41159
100	4621	41086
101	4666	41034
102	4710	40974
103	4753	40911
104	4800	40871
105	4843	40807
106	4887	40740
107	4931	40681
108	4976	40630
109	5020	40576
110	5065	40527
111	5111	40483
112	5157	40440
113	5201	40378
114	5250	40356
115	5298	40332
116	5344	40289
117	5396	40290
118	5451	40313
119	5494	40248
120	5540	40200
121	5584	40143
122	5629	40094
123	5675	40046
124	5723	40015
125	5767	39961
126	5810	39894
127	5854	39839
128	5897	39772
129	5941	39714
130	5984	39656
131	6029	39603
132	6075	39559
